,Time_CPU,Time_RTC,"Acceleration[(x,y,z),(m/s^2)]","Magnetometer[(x,y,z),(uT)]"
216,11:36:46,0:49:2,"(-10.058680905000001, -1.338607725, -0.15298374)","(38.4, 37.5, 8.7)"
217,11:36:57,0:49:13,"(-12.391682939999999, 0.420705285, -4.5895122)","(46.5, -10.5, 10.65)"
218,11:37:07,0:49:23,"(-7.725678869999999, 0.038245935, -0.91790244)","(35.25, 39.75, 22.05)"
219,11:37:18,0:49:34,"(-10.976583345, -1.032640245, -2.562477645)","(46.199999999999996, 8.4, -5.1)"
220,11:37:29,0:49:45,"(-9.905697165000001, -0.53544309, -6.27233334)","(43.65, 21.75, 32.699999999999996)"
221,11:37:39,0:49:55,"(-8.03164635, -0.8031646349999999, -0.879656505)","(46.8, -5.55, -0.8999999999999999)"
222,11:37:50,0:50:6,"(-8.222876025, 0.49719715499999995, -4.818987809999999)","(43.949999999999996, -3.9, 33.15)"
223,11:38:00,0:50:16,"(-9.599729685, -0.84141057, -0.53544309)","(42.9, 22.2, 35.4)"
224,11:38:11,0:50:27,"(-10.364648384999999, 0.45895122, -5.73689025)","(47.55, 22.05, 9.75)"
225,11:38:21,0:50:37,"(-8.299367895, -0.38245935, -2.60072358)","(45.9, -13.5, 11.4)"
226,11:38:32,0:50:48,"(-6.50180895, -0.84141057, -0.956148375)","(41.85, 31.95, 13.95)"
227,11:38:42,0:50:58,"(-8.834810985, 0.0, -4.551266265)","(41.85, -12.299999999999999, 16.95)"
228,11:38:53,0:51:9,"(-10.40289432, -0.879656505, -3.0596748)","(40.65, 2.85, 42.15)"
229,11:39:03,0:51:19,"(-9.982189035, -0.879656505, -1.83580488)","(43.949999999999996, -13.5, 26.25)"
230,11:39:14,0:51:30,"(-7.26672765, 0.038245935, -3.74810163)","(49.949999999999996, 12.45, 14.549999999999999)"
231,11:39:24,0:51:41,"(-8.681827245, -1.5298374, -0.68842683)","(48.6, 17.25, 21.9)"
232,11:39:35,0:51:51,"(-10.976583345, -0.68842683, -4.97197155)","(41.4, 28.799999999999997, 29.7)"
233,11:39:46,0:52:2,"(-10.938337409999999, -0.956148375, -0.956148375)","(47.55, 0.8999999999999999, 29.549999999999997)"
234,11:39:56,0:52:12,"(-8.681827245, -0.114737805, -4.89547968)","(50.1, 10.799999999999999, 7.6499999999999995)"
235,11:40:06,0:52:23,"(-9.1790244, -0.49719715499999995, -3.250904475)","(46.05, 11.7, -5.3999999999999995)"
236,11:40:17,0:52:33,"(-9.10253253, -1.262115855, -1.1856239849999999)","(37.35, -23.7, 22.8)"
237,11:40:28,0:52:44,"(-9.79095936, -0.38245935, -4.015823175)","(45.15, -14.549999999999999, 21.45)"
238,11:40:38,0:52:54,"(-9.25551627, -0.9943943099999999, -0.191229675)","(37.949999999999996, 30.75, 30.0)"
239,11:40:49,0:53:5,"(-9.1790244, -1.14737805, -2.103526425)","(32.55, 21.9, -24.0)"
240,11:40:59,0:53:16,"(-9.905697165000001, -0.68842683, -3.403888215)","(42.9, -4.2, 32.55)"
241,11:41:10,0:53:26,"(-13.998012209999999, -0.9943943099999999, -0.420705285)","(49.949999999999996, -3.0, 4.05)"
242,11:41:20,0:53:37,"(-6.8842683000000005, -0.7649187, -1.9887886199999998)","(48.9, -6.3, 7.8)"
243,11:41:31,0:53:47,"(-8.375859765, -0.22947561, 0.573689025)","(49.5, 11.85, 11.7)"
244,11:41:42,0:53:58,"(-8.681827245, 0.038245935, -5.43092277)","(41.1, 18.15, -12.6)"
245,11:41:52,0:54:8,"(-11.817993914999999, -1.109132115, -1.032640245)","(49.199999999999996, 10.95, 3.75)"
246,11:42:03,0:54:19,"(-9.332008140000001, -0.53544309, -3.90108537)","(48.0, 19.65, 10.65)"
247,11:42:13,0:54:29,"(-8.72007318, 0.726672765, -4.627758135)","(43.199999999999996, -5.55, -14.7)"
248,11:42:24,0:54:40,"(-9.867451229999999, -1.4150995949999998, -0.61193496)","(37.949999999999996, 35.1, 5.55)"
249,11:42:34,0:54:51,"(-12.162207330000001, 0.7649187, -5.04846342)","(26.25, 43.8, 9.75)"
250,11:42:45,0:55:1,"(-10.7088618, 0.420705285, -6.310579275)","(45.75, 1.2, -9.75)"
251,11:42:56,0:55:12,"(-9.56148375, -2.4094939049999997, -0.38245935)","(46.949999999999996, 17.25, 16.95)"
252,11:43:06,0:55:22,"(-9.523237815, 0.726672765, -7.419711390000001)","(47.85, -10.5, 16.2)"
253,11:43:17,0:55:33,"(-9.25551627, -0.573689025, -0.53544309)","(43.5, 26.099999999999998, 13.2)"
254,11:43:27,0:55:43,"(-8.337613829999999, 0.38245935, -4.627758135)","(44.699999999999996, 23.55, 2.25)"
255,11:43:38,0:55:54,"(-10.24991058, -1.37685366, -0.879656505)","(41.4, 24.75, 19.95)"
256,11:43:48,0:56:4,"(-8.911302854999999, -0.650180895, -1.5298374)","(30.75, 27.599999999999998, -23.7)"
257,11:43:59,0:56:15,"(-10.47938619, -0.344213415, -4.13056098)","(47.4, -5.1, -6.1499999999999995)"
258,11:44:09,0:56:25,"(-10.900091475, -1.07088618, -1.30036179)","(43.05, -18.599999999999998, -7.8)"
259,11:44:20,0:56:36,"(-9.9439431, -0.420705285, -1.91229675)","(30.299999999999997, 33.0, 30.9)"
260,11:44:33,0:56:49,"(-11.435534565, -0.344213415, -3.0979207349999998)","(39.3, -28.2, 8.25)"
261,11:44:43,0:57:0,"(-10.976583345, -1.83580488, -1.032640245)","(38.25, 26.7, 24.45)"
262,11:44:54,0:57:10,"(-9.332008140000001, -0.22947561, -4.7424959399999995)","(49.949999999999996, 1.7999999999999998, 2.4)"
263,11:45:04,0:57:21,"(-11.09132115, -0.726672765, -0.267721545)","(44.1, -11.85, 25.2)"
264,11:45:15,0:57:31,"(-8.069892285, 0.726672765, -4.704250005)","(33.9, 30.75, 25.05)"
265,11:45:26,0:57:42,"(-9.1790244, -0.91790244, -1.109132115)","(47.699999999999996, 13.35, 5.7)"
266,11:45:36,0:57:52,"(-9.484991879999999, 0.0, -3.556871955)","(33.15, 22.349999999999998, 35.699999999999996)"
267,11:45:47,0:58:3,"(-12.506420745, -0.84141057, -4.0540691099999995)","(42.15, 22.05, 10.65)"
268,11:45:57,0:58:13,"(-9.982189035, -1.4150995949999998, -0.9943943099999999)","(43.5, -1.5, -19.05)"
269,11:46:08,0:58:24,"(-9.332008140000001, 0.038245935, -3.939331305)","(46.199999999999996, -15.0, -4.5)"
270,11:46:18,0:58:34,"(-10.32640245, -0.38245935, -2.0270345549999997)","(46.199999999999996, 12.45, 16.8)"
271,11:46:29,0:58:45,"(-9.40850001, -0.038245935, -3.4421341500000002)","(37.05, 28.5, 0.44999999999999996)"
272,11:46:39,0:58:55,"(-8.681827245, -0.15298374, -4.780741875)","(32.25, -34.199999999999996, 19.8)"
273,11:46:50,0:59:6,"(-8.681827245, -1.45334553, -1.30036179)","(29.849999999999998, -3.3, 43.05)"
274,11:47:00,0:59:16,"(-11.16781302, -0.49719715499999995, -1.9887886199999998)","(41.85, 11.1, -17.7)"
275,11:47:11,0:59:27,"(-9.752713425, -1.4150995949999998, -1.1856239849999999)","(42.75, -22.65, 16.65)"
276,11:47:21,0:59:37,"(-8.79656505, -0.9943943099999999, -2.715461385)","(49.05, 2.6999999999999997, -1.65)"
277,11:47:32,0:59:48,"(-9.25551627, -0.68842683, -1.874050815)","(48.0, -3.15, 13.95)"
278,11:47:43,0:59:59,"(-8.834810985, -1.22386992, -1.6063292699999998)","(32.1, 4.95, -31.799999999999997)"
279,11:47:53,1:0:9,"(-9.982189035, -0.7649187, -3.556871955)","(47.699999999999996, 4.95, 13.799999999999999)"
280,11:48:04,1:0:20,"(-11.4737805, -0.038245935, -1.7210670750000001)","(48.6, 4.05, 0.15)"
281,11:48:14,1:0:30,"(-11.55027237, -0.344213415, -6.999006104999999)","(35.4, -10.35, -29.25)"
282,11:48:25,1:0:41,"(-9.140778465, 0.15298374, -4.780741875)","(47.1, 5.1, 19.95)"
283,11:48:35,1:0:51,"(-10.135172775000001, -0.07649187, -1.37685366)","(48.0, -8.25, -1.65)"
284,11:48:46,1:1:2,"(-10.47938619, 0.114737805, -6.34882521)","(35.25, 29.25, -5.55)"
285,11:48:56,1:1:13,"(-8.834810985, -1.568083335, -0.61193496)","(49.8, -4.95, -5.85)"
286,11:49:07,1:1:23,"(-7.6109410650000004, 0.7649187, -6.8460223650000005)","(37.35, 3.4499999999999997, 32.55)"
287,11:49:18,1:1:34,"(-7.649187, -0.726672765, -0.956148375)","(48.449999999999996, 1.7999999999999998, 5.85)"
288,11:49:28,1:1:44,"(-8.987794725, 0.45895122, -4.933725614999999)","(41.55, -25.8, 12.45)"
289,11:49:39,1:1:55,"(-8.911302854999999, -1.491591465, -1.37685366)","(44.25, 6.6, -16.2)"
290,11:49:49,1:2:5,"(-8.605335375, -0.267721545, -4.7424959399999995)","(48.6, -9.9, -4.35)"
291,11:50:00,1:2:16,"(-11.244304889999999, -1.6063292699999998, -1.874050815)","(48.15, 5.25, 3.0)"
292,11:50:10,1:2:26,"(-11.01482928, -0.49719715499999995, -2.60072358)","(41.25, -29.849999999999998, -1.2)"
293,11:50:21,1:2:37,"(-16.636981725000002, -0.22947561, -3.7098556950000003)","(28.799999999999997, 33.6, -7.5)"
294,11:50:33,1:2:49,"(-12.276945134999998, -0.344213415, -2.8301991899999996)","(45.15, -18.45, -14.1)"
295,11:50:44,1:3:0,"(-13.38607725, -0.61193496, -6.50180895)","(40.65, -2.85, 26.849999999999998)"
296,11:50:54,1:3:10,"(-8.4141057, -1.45334553, -1.83580488)","(15.75, 37.35, -14.549999999999999)"
297,11:51:05,1:3:21,"(-15.795571155000001, -0.038245935, -6.693038625)","(33.75, 25.5, -13.65)"
298,11:51:15,1:3:31,"(-11.588518305000001, -0.68842683, -0.344213415)","(38.55, 19.95, 14.549999999999999)"
299,11:51:26,1:3:42,"(-8.26112196, -0.344213415, -6.65479269)","(36.449999999999996, -4.2, 21.45)"
300,11:51:37,1:3:53,"(-11.39728863, -1.68282114, -0.9943943099999999)","(44.699999999999996, -20.849999999999998, -14.1)"
301,11:51:47,1:4:3,"(-10.78535367, 0.61193496, -5.27793903)","(47.25, -4.35, 14.7)"
302,11:51:58,1:4:14,"(-8.758319115, -1.032640245, -1.22386992)","(48.0, -14.85, -6.3)"
303,11:52:08,1:4:24,"(-10.09692684, -0.30596748, -3.13616667)","(46.05, -1.7999999999999998, -14.1)"
304,11:52:19,1:4:35,"(-8.4141057, -1.338607725, -0.53544309)","(38.4, -1.2, -30.9)"
305,11:52:29,1:4:46,"(-8.108138219999999, -0.84141057, -2.52423171)","(44.85, -7.6499999999999995, 16.95)"
306,11:52:40,1:4:56,"(-8.299367895, -1.4150995949999998, -0.8031646349999999)","(42.0, 15.6, -0.8999999999999999)"
307,11:52:51,1:5:7,"(-8.56708944, -0.956148375, -1.45334553)","(40.199999999999996, -28.95, 2.85)"
308,11:53:01,1:5:17,"(-11.741502044999999, -0.726672765, -2.67721545)","(37.5, 22.65, -4.6499999999999995)"
309,11:53:12,1:5:28,"(-9.867451229999999, -1.4150995949999998, -1.5298374)","(36.3, 5.7, 26.099999999999998)"
310,11:53:22,1:5:38,"(-11.053075215, -0.650180895, -2.256510165)","(36.75, -4.95, 28.05)"
311,11:53:33,1:5:49,"(-5.81338212, -1.07088618, -1.37685366)","(7.199999999999999, 32.25, -29.4)"
312,11:53:44,1:6:0,"(-11.39728863, -3.2126585399999996, -0.9943943099999999)","(40.949999999999996, -18.0, 18.75)"
313,11:53:54,1:6:10,"(-9.905697165000001, -0.38245935, -3.90108537)","(41.4, -2.6999999999999997, -23.7)"
314,11:54:06,1:6:22,"(-9.217270335, -1.262115855, -0.22947561)","(34.35, 21.599999999999998, 11.1)"
315,11:54:17,1:6:33,"(-13.577306925, -1.68282114, -5.239693095)","(41.25, 13.95, 0.0)"
316,11:54:27,1:6:43,"(-9.140778465, 0.22947561, -2.8301991899999996)","(43.5, -4.2, -26.4)"
317,11:54:38,1:6:54,"(-10.747107734999998, -0.15298374, -1.75931301)","(32.55, -5.3999999999999995, -40.949999999999996)"
318,11:54:48,1:7:4,"(-7.34321952, -0.07649187, -3.67160976)","(37.8, -3.3, 17.55)"
319,11:54:59,1:7:15,"(-9.752713425, -2.0270345549999997, -0.45895122)","(43.35, -14.85, -24.9)"
320,11:55:09,1:7:25,"(-9.332008140000001, -0.53544309, -2.868445125)","(48.0, -12.6, -3.3)"
321,11:55:20,1:7:36,"(-7.381465454999999, -0.956148375, -0.53544309)","(39.75, 10.2, 9.299999999999999)"
322,11:55:30,1:7:46,"(-10.7088618, -0.573689025, -2.103526425)","(42.9, 7.05, -20.4)"
323,11:55:41,1:7:57,"(-10.55587806, -0.267721545, -2.75370732)","(33.0, 19.349999999999998, 8.4)"
324,11:55:52,1:8:8,"(-8.528843505, -1.37685366, -1.68282114)","(46.65, -10.5, 2.4)"
325,11:56:02,1:8:18,"(-11.16781302, -1.1856239849999999, -2.2947561)","(33.0, 7.6499999999999995, 20.25)"
326,11:56:13,1:8:29,"(-6.769530495, -0.91790244, -1.7210670750000001)","(36.6, 18.15, -10.2)"
327,11:56:23,1:8:39,"(-9.79095936, -0.53544309, -3.9775772399999996)","(28.2, -48.0, -7.6499999999999995)"
328,11:56:34,1:8:50,"(-11.55027237, -1.338607725, -1.75931301)","(30.15, 18.0, -29.7)"
329,11:56:44,1:9:0,"(-10.441140255, -0.53544309, -3.7098556950000003)","(34.65, 12.9, 9.45)"
330,11:56:55,1:9:11,"(-7.80217074, -0.22947561, -3.786347565)","(34.8, -39.75, 2.85)"
331,11:57:05,1:9:21,"(-7.725678869999999, -1.30036179, -0.61193496)","(26.25, -4.95, 27.75)"
332,11:57:16,1:9:32,"(-16.101538634999997, 0.650180895, -6.1958414699999995)","(41.4, -34.35, -5.1)"
333,11:57:27,1:9:43,"(-10.24991058, -1.032640245, -1.30036179)","(38.55, -5.85, -38.55)"
334,11:57:38,1:9:54,"(-8.681827245, -0.191229675, -3.2126585399999996)","(45.0, -13.35, -26.4)"
335,11:57:48,1:10:4,"(-8.987794725, -0.726672765, -2.715461385)","(42.3, -10.35, -31.95)"
336,11:57:59,1:10:15,"(-8.94954879, -0.956148375, -1.262115855)","(47.1, -11.4, -7.05)"
337,11:58:09,1:10:25,"(-12.735896355000001, -0.420705285, -3.021428865)","(35.55, 13.049999999999999, 9.45)"
338,11:58:20,1:10:36,"(-8.79656505, -1.07088618, -0.61193496)","(32.85, -24.3, 18.599999999999998)"
339,11:58:30,1:10:46,"(-8.49059757, -0.45895122, -3.174412605)","(28.2, -23.25, 21.9)"
340,11:58:41,1:10:57,"(-10.211664644999999, -1.37685366, -0.7649187)","(37.949999999999996, -14.399999999999999, 13.65)"
341,11:58:51,1:11:7,"(-15.374865869999999, 0.84141057, -2.485985775)","(45.449999999999996, -16.349999999999998, -6.3)"
342,11:59:02,1:11:18,"(-5.27793903, 0.420705285, -3.13616667)","(22.95, 25.349999999999998, -15.149999999999999)"
343,11:59:12,1:11:28,"(-11.4737805, -0.879656505, -1.5298374)","(40.8, -34.5, -9.0)"
344,11:59:23,1:11:39,"(-9.56148375, -0.420705285, -3.403888215)","(29.099999999999998, -22.05, 20.4)"
345,11:59:33,1:11:49,"(-12.965371965, -1.874050815, -2.14177236)","(32.85, -7.05, 17.849999999999998)"
346,11:59:44,1:12:0,"(-6.2340874049999995, -0.84141057, -1.14737805)","(38.699999999999996, 0.15, 1.5)"
347,11:59:55,1:12:11,"(-11.741502044999999, -0.8031646349999999, -2.3712479699999998)","(46.199999999999996, -15.299999999999999, -20.4)"
348,12:00:05,1:12:21,"(-5.545660575, -0.344213415, -2.0270345549999997)","(2.25, 25.8, -37.5)"
349,12:00:16,1:12:32,"(-9.79095936, -0.726672765, -1.07088618)","(37.65, -28.95, 8.25)"
350,12:00:27,1:12:43,"(-8.26112196, -1.22386992, -2.180018295)","(32.699999999999996, 4.2, -41.55)"
351,12:00:37,1:12:53,"(-11.85623985, -1.032640245, -2.8301991899999996)","(30.45, 17.849999999999998, -13.799999999999999)"
352,12:00:48,1:13:4,"(-10.86184554, -0.9943943099999999, -0.91790244)","(38.699999999999996, 6.75, -10.2)"
353,12:00:58,1:13:14,"(-11.129567084999998, -1.032640245, -1.14737805)","(22.95, 10.049999999999999, 13.049999999999999)"
354,12:01:11,1:13:27,"(-9.446745945, -1.14737805, -1.4150995949999998)","(29.849999999999998, 0.75, -48.3)"
355,12:01:22,1:13:38,"(-10.058680905000001, -1.75931301, -1.1856239849999999)","(29.25, -42.0, -41.699999999999996)"
356,12:01:32,1:13:48,"(-13.53906099, -0.879656505, -2.3330020350000003)","(39.15, -3.4499999999999997, -37.35)"
357,12:01:43,1:13:59,"(-5.58390651, -0.84141057, -0.038245935)","(28.05, -2.25, 14.1)"
358,12:01:53,1:14:9,"(-8.64358131, -0.573689025, -0.45895122)","(34.35, 10.799999999999999, -4.5)"
359,12:02:04,1:14:20,"(-11.359042695, -0.9943943099999999, -0.956148375)","(35.4, 9.299999999999999, -7.949999999999999)"
360,12:02:15,1:14:31,"(-5.775136185, -0.650180895, -1.30036179)","(42.15, -2.55, -11.25)"
361,12:02:26,1:14:42,"(-11.894485784999999, -0.84141057, -1.07088618)","(45.9, -15.6, -20.4)"
362,12:02:36,1:14:52,"(-14.571701234999999, -2.103526425, -1.37685366)","(35.4, 6.0, -2.25)"
363,12:02:47,1:15:3,"(-8.26112196, -1.109132115, -0.91790244)","(26.55, -24.3, -56.4)"
364,12:02:58,1:15:14,"(-9.676221555, -1.5298374, -1.22386992)","(27.599999999999998, 11.4, 0.3)"
365,12:03:08,1:15:24,"(-8.03164635, -0.038245935, -1.874050815)","(34.8, 2.25, -38.4)"
366,12:03:19,1:15:35,"(-13.692044730000001, -2.256510165, -1.262115855)","(41.55, -13.799999999999999, 0.0)"
367,12:03:29,1:15:45,"(-2.485985775, 0.30596748, -2.75370732)","(-30.0, 20.7, -19.8)"
368,12:03:40,1:15:56,"(-15.60434148, -0.726672765, -0.956148375)","(34.35, -29.549999999999997, -47.85)"
369,12:03:50,1:16:6,"(-7.955154479999999, 0.191229675, -6.80777643)","(2.85, 17.4, 6.0)"
370,12:04:01,1:16:17,"(-7.725678869999999, 0.49719715499999995, -6.769530495)","(15.0, -58.5, -10.35)"
371,12:04:12,1:16:28,"(-17.66962197, -1.14737805, -3.74810163)","(32.1, -50.1, -30.15)"
372,12:04:22,1:16:38,"(-3.633363825, 0.726672765, -6.0811036650000005)","(28.2, -53.55, -16.05)"
373,12:04:33,1:16:49,"(-16.407506115, -0.956148375, -0.84141057)","(42.9, -30.0, -19.2)"
374,12:04:43,1:16:59,"(-8.26112196, 1.07088618, -5.4691687049999995)","(30.0, -50.85, -16.95)"
375,12:04:54,1:17:10,"(-7.955154479999999, -0.15298374, -1.950542685)","(3.9, -50.25, 8.549999999999999)"
376,12:05:04,1:17:20,"(-15.183636195, -0.573689025, -6.1193496)","(20.099999999999998, -32.85, 14.1)"
377,12:05:15,1:17:31,"(-5.545660575, -0.84141057, -0.573689025)","(23.25, -52.5, -41.699999999999996)"
378,12:05:25,1:17:41,"(-15.489603675, -0.45895122, -1.75931301)","(34.65, -23.7, 3.4499999999999997)"
379,12:05:36,1:17:52,"(-9.25551627, -0.61193496, -2.791953255)","(11.4, -36.75, -64.8)"
380,12:05:46,1:18:2,"(-12.08571546, 0.15298374, -1.37685366)","(24.15, -42.15, 5.7)"
381,12:05:57,1:18:13,"(-12.00922359, 0.22947561, -2.98318293)","(7.6499999999999995, 20.849999999999998, -12.299999999999999)"
382,12:06:07,1:18:24,"(-18.243310994999998, -0.84141057, -1.37685366)","(27.0, -47.699999999999996, -1.5)"
383,12:06:18,1:18:34,"(-8.222876025, -0.650180895, -1.14737805)","(-2.85, 0.6, 16.8)"
384,12:06:29,1:18:45,"(-13.845028469999999, -1.68282114, -2.180018295)","(31.049999999999997, -23.55, -54.3)"
385,12:06:39,1:18:55,"(-7.03725204, -1.491591465, -0.726672765)","(2.25, -31.349999999999998, 19.65)"
386,12:06:50,1:19:6,"(-15.719079285, -1.568083335, -1.6063292699999998)","(39.449999999999996, -7.949999999999999, -8.25)"
387,12:07:00,1:19:16,"(-11.16781302, -0.49719715499999995, -4.245298785)","(25.5, 14.1, -22.95)"
388,12:07:11,1:19:27,"(-3.67160976, -1.07088618, -0.114737805)","(28.2, -43.199999999999996, -50.25)"
389,12:07:21,1:19:37,"(-17.36365449, -2.0270345549999997, -3.51862602)","(43.65, -20.7, -23.7)"
390,12:07:32,1:19:48,"(-7.228481715, -1.22386992, -1.644575205)","(19.05, -56.85, -39.75)"
391,12:07:43,1:19:59,"(-3.90108537, -0.420705285, -0.726672765)","(-1.95, -23.099999999999998, 22.95)"
392,12:07:53,1:20:9,"(-13.768536600000001, -1.6063292699999998, -2.14177236)","(18.15, -49.5, 5.1)"
393,12:08:04,1:20:20,"(-8.069892285, -0.573689025, -2.3712479699999998)","(38.55, -5.25, -36.75)"
394,12:08:14,1:20:30,"(-13.46256912, -1.37685366, -2.180018295)","(41.1, -13.65, -9.75)"
395,12:08:25,1:20:41,"(-2.06528049, -0.420705285, -1.4150995949999998)","(-25.95, 19.5, -12.45)"
396,12:08:35,1:20:51,"(-10.976583345, -1.032640245, -1.262115855)","(34.949999999999996, 1.3499999999999999, -8.1)"
397,12:08:46,1:21:2,"(-7.725678869999999, -0.879656505, -1.262115855)","(34.65, -32.55, -47.1)"
398,12:08:57,1:21:13,"(-9.905697165000001, -0.84141057, -5.086709354999999)","(33.6, 3.5999999999999996, -34.65)"
399,12:09:07,1:21:23,"(-19.50542685, -2.638969515, -2.44773984)","(40.5, -6.3, -27.0)"
400,12:09:18,1:21:34,"(-7.03725204, 1.14737805, -7.075497975)","(40.199999999999996, -5.85, -9.9)"
401,12:09:28,1:21:44,"(-11.741502044999999, -1.5298374, -1.109132115)","(42.6, -13.35, -27.9)"
402,12:09:39,1:21:55,"(-5.545660575, -0.420705285, -2.3330020350000003)","(28.799999999999997, 12.45, -23.25)"
403,12:09:49,1:22:6,"(-17.172424815, -0.53544309, -7.03725204)","(42.9, -21.75, -8.549999999999999)"
404,12:10:00,1:22:16,"(-9.370254075, -1.37685366, -1.109132115)","(41.85, -8.25, -9.15)"
405,12:10:11,1:22:27,"(-10.86184554, 0.726672765, -6.769530495)","(43.949999999999996, -15.45, -14.1)"
406,12:10:21,1:22:37,"(-7.26672765, -1.032640245, -1.7210670750000001)","(8.1, -48.0, 11.549999999999999)"
407,12:10:32,1:22:48,"(-16.636981725000002, -1.9887886199999998, -1.262115855)","(32.4, -32.55, -48.449999999999996)"
408,12:10:42,1:22:58,"(-3.403888215, -1.37685366, -0.22947561)","(18.45, -39.3, 14.7)"
409,12:10:53,1:23:9,"(-12.62115855, -1.91229675, -1.874050815)","(44.4, -24.75, -15.899999999999999)"
410,12:11:03,1:23:19,"(-13.15660164, -1.1856239849999999, -0.8031646349999999)","(39.449999999999996, -7.8, -3.0)"
411,12:11:14,1:23:30,"(-9.523237815, -1.1856239849999999, -0.9943943099999999)","(43.65, -26.4, -20.849999999999998)"
412,12:11:25,1:23:41,"(-10.632369930000001, -1.14737805, -2.06528049)","(44.25, -19.95, -27.0)"
413,12:11:35,1:23:51,"(-9.829205295, -1.1856239849999999, -0.84141057)","(28.2, -43.35, -44.4)"
414,12:11:46,1:24:2,"(-12.506420745, -0.650180895, -1.4150995949999998)","(34.65, 6.8999999999999995, -28.65)"
415,12:11:56,1:24:12,"(-7.381465454999999, -1.30036179, -0.45895122)","(41.1, -34.949999999999996, -20.55)"
416,12:12:07,1:24:23,"(-16.483997985, -1.950542685, -1.950542685)","(42.3, -28.95, -12.15)"
417,12:12:17,1:24:33,"(-5.545660575, -0.91790244, -0.573689025)","(23.55, -12.299999999999999, 17.25)"
418,12:12:28,1:24:44,"(-16.98119514, -2.0270345549999997, -1.75931301)","(43.949999999999996, -18.9, -28.95)"
419,12:12:38,1:24:54,"(-12.200453264999998, -0.45895122, -1.4150995949999998)","(37.5, -42.15, -25.05)"
420,12:12:49,1:25:5,"(-17.89909758, -1.75931301, -4.245298785)","(40.65, -37.65, -22.05)"
421,12:12:59,1:25:15,"(-18.89349189, -1.37685366, -5.698644315)","(33.0, -42.6, -36.75)"
422,12:13:10,1:25:26,"(-12.047469525, -0.879656505, -1.45334553)","(17.55, -48.0, 8.25)"
423,12:13:20,1:25:36,"(-6.999006104999999, -0.68842683, -1.491591465)","(28.349999999999998, -48.15, -36.0)"
424,12:13:31,1:25:47,"(-17.784359775, -1.262115855, -4.20705285)","(39.9, -37.8, -24.3)"
425,12:13:41,1:25:57,"(-9.370254075, -0.84141057, -1.14737805)","(29.849999999999998, 12.45, -31.799999999999997)"
426,12:13:52,1:26:8,"(-12.00922359, -1.1856239849999999, -1.83580488)","(30.45, -20.7, 15.149999999999999)"
